id результата;Команда;Баллы;Сдал(-а);Посещение до Контрольная работа 1;Баллы до Контрольная работа 1;Контрольная работа 1;Посещение до Контрольная работа 2;Баллы до Контрольная работа 2;Контрольная работа 2;Посещение до Контрольная работа 3;Баллы до Контрольная работа 3;Контрольная работа 3
2805;10.03.01 Информационная безопасность;64.49;1;0.82;0.0;11.0;0.4;0.0;13.32;0.75;0.0;14.17
2806;40.03.01 Юриспруденция;34.1;0;0.45;0.0;4.5;0.8;0.0;5.8;0.88;0.0;9.3
2807;04.03.01 Химия;76.12;1;1.0;0.0;11.31;1.0;0.0;13.43;0.75;0.0;8.33
2808;10.03.01 Информационная безопасность;66.3;1;0.45;0.0;15.31;0.4;0.0;16.53;0.5;0.0;17.46
2809;04.03.01 Химия;61.0;1;1.0;0.0;2.67;1.0;0.0;6.78;1.0;0.0;3.5
2810;02.03.03 Математическое обеспечение и администрирование информационных систем;76.1;1;1.0;0.0;14.7;1.0;0.0;14.0;1.0;0.0;7.7
2811;04.03.01 Химия;20.16;0;0.45;0.0;7.83;0.6;0.0;5.33;0.62;0.0;6.0
2812;09.03.03 Прикладная информатика;0.0;0;0.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2813;10.03.01 Информационная безопасность;2.58;0;0.82;0.0;1.25;0.8;0.0;1.33;0.38;0.0;0.0
2814;09.03.02 Информационные системы и технологии;79.81;1;0.64;0.0;15.08;0.8;0.0;15.17;0.75;0.0;12.56
2815;02.03.03 Математическое обеспечение и администрирование информационных систем;29.98;0;0.27;0.0;8.5;0.6;0.0;4.88;0.25;0.0;8.6
2816;09.03.03 Прикладная информатика;61.03;1;1.0;0.0;11.83;0.8;0.0;11.28;0.88;0.0;6.17
2817;09.03.02 Информационные системы и технологии;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2818;44.03.05 Педагогическое образование (с двумя профилями подготовки);61.0;1;1.0;0.0;7.0;1.0;0.0;6.5;1.0;0.0;4.0
2819;09.03.02 Информационные системы и технологии;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2820;02.03.03 Математическое обеспечение и администрирование информационных систем;7.0;0;0.09;0.0;7.0;0.4;0.0;0.0;0.0;0.0;0.0
2821;02.03.03 Математическое обеспечение и администрирование информационных систем;64.06;1;0.82;0.0;6.66;1.0;0.0;8.4;1.0;0.0;13.0
2822;09.03.02 Информационные системы и технологии;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
