Пол;Не сдал(-а);Посещение до Контрольная работа 1;Баллы до Контрольная работа 1;Процент баллов до Контрольная работа 1;Контрольная работа 1;Посещение до Контрольная работа 2;Баллы до Контрольная работа 2;Процент баллов до Контрольная работа 2;Контрольная работа 2;Посещение до Контрольная работа 3;Баллы до Контрольная работа 3;Процент баллов до Контрольная работа 3;Контрольная работа 3
0.0;0;0.57;0.13;0.42;0.1165;0.75;0.06;0.26;0.0;0.29;0.1;0.43;0.15869999999999998
1.0;0;0.93;0.07;0.23;0.069;1.0;0.03;0.13;0.131;1.0;0.078;0.34;0.09
0.0;1;0.86;0.04;0.13;0.0;0.5;0.04;0.17;0.0;0.0;0.0;0.0;0.0
1.0;0;0.79;0.15;0.48;0.16519999999999999;1.0;0.04;0.17;0.0857;0.71;0.02;0.09;0.1213
0.0;0;0.93;0.1255;0.4;0.11;1.0;0.1015;0.44;0.10099999999999999;1.0;0.155;0.67;0.14
0.0;0;0.86;0.136;0.44;0.16;1.0;0.06;0.26;0.18;1.0;0.08;0.35;0.17
1.0;0;0.86;0.16;0.52;0.15;1.0;0.06;0.26;0.17;1.0;0.1;0.43;0.18
1.0;0;0.86;0.03;0.1;0.0359;0.5;0.028999999999999998;0.13;0.0508;0.57;0.0;0.0;0.0433
0.0;0;0.29;0.0055000000000000005;0.02;0.048;0.25;0.0225;0.1;0.098;0.71;0.077;0.33;0.0
1.0;0;0.71;0.06;0.19;0.08;0.25;0.0;0.0;0.09;0.71;0.0;0.0;0.08
0.0;0;1.0;0.2;0.65;0.13;1.0;0.06;0.26;0.14;1.0;0.14;0.61;0.16
1.0;0;0.86;0.14;0.45;0.1592;0.5;0.03;0.13;0.1514;0.86;0.02;0.09;0.1572
1.0;1;0.79;0.16799999999999998;0.54;0.078;0.75;0.055;0.24;0.0;0.57;0.062;0.27;0.16
1.0;0;1.0;0.12;0.39;0.05;1.0;0.04;0.17;0.08;1.0;0.1;0.43;0.13
1.0;0;0.5;0.16;0.52;0.12;1.0;0.06;0.26;0.12;0.29;0.1;0.43;0.12
0.0;0;0.93;0.15;0.48;0.0678;1.0;0.06;0.26;0.08;0.29;0.06;0.26;0.15869999999999998
1.0;1;0.57;0.04;0.13;0.08;1.0;0.02;0.09;0.08;0.14;0.0;0.0;0.04
0.0;0;1.0;0.16;0.52;0.12;1.0;0.13;0.56;0.15;1.0;0.1;0.43;0.15
1.0;0;0.71;0.16;0.52;0.094;1.0;0.04;0.17;0.1323;1.0;0.06;0.26;0.052300000000000006
1.0;0;1.0;0.145;0.47;0.16699999999999998;0.75;0.09;0.39;0.1534;1.0;0.1;0.43;0.17329999999999998
1.0;0;0.86;0.14;0.45;0.1414;1.0;0.04;0.17;0.135;0.71;0.06;0.26;0.17350000000000002
1.0;0;1.0;0.16;0.52;0.1153;1.0;0.06;0.26;0.1536;1.0;0.10099999999999999;0.44;0.1575
0.0;0;0.71;0.14;0.45;0.0817;0.25;0.04;0.17;0.0733;0.43;0.0;0.0;0.1
1.0;0;0.57;0.14;0.45;0.1185;0.5;0.06;0.26;0.11349999999999999;1.0;0.08;0.35;0.165
1.0;0;0.79;0.133;0.43;0.154;1.0;0.051;0.22;0.16399999999999998;1.0;0.14;0.61;0.14
0.0;1;1.0;0.109;0.35;0.087;1.0;0.08;0.35;0.08199999999999999;0.71;0.068;0.29;0.095
1.0;0;0.93;0.17;0.55;0.17;1.0;0.04;0.17;0.2;1.0;0.1;0.43;0.14400000000000002
1.0;0;1.0;0.09899999999999999;0.32;0.142;1.0;0.09699999999999999;0.42;0.162;1.0;0.09699999999999999;0.42;0.162
1.0;0;0.86;0.162;0.52;0.14400000000000002;1.0;0.055;0.24;0.085;0.71;0.11599999999999999;0.5;0.152
1.0;1;0.5;0.1;0.32;0.06;1.0;0.02;0.09;0.09;0.29;0.0;0.0;0.06
1.0;0;0.79;0.17;0.55;0.126;0.5;0.06;0.26;0.1507;0.86;0.15;0.65;0.18
0.0;0;0.57;0.0;0.0;0.001;0.25;0.0;0.0;0.0;0.29;0.0;0.0;0.0
0.0;0;1.0;0.13;0.42;0.13;1.0;0.06;0.26;0.12;1.0;0.07;0.3;0.17
1.0;0;1.0;0.16;0.52;0.12;1.0;0.06;0.26;0.12;1.0;0.1;0.43;0.12
0.0;0;0.86;0.16;0.52;0.1743;0.25;0.06;0.26;0.2;0.57;0.1;0.43;0.195
0.0;0;1.0;0.14;0.45;0.11;1.0;0.05;0.22;0.16;1.0;0.1;0.43;0.17
1.0;0;1.0;0.13;0.42;0.1108;0.5;0.02;0.09;0.19469999999999998;1.0;0.02;0.09;0.17800000000000002
0.0;0;0.64;0.18;0.58;0.18;0.75;0.06;0.26;0.2;0.43;0.12;0.52;0.19
0.0;0;0.86;0.12;0.39;0.04;1.0;0.06;0.26;0.11;1.0;0.13;0.56;0.07
1.0;1;0.79;0.0995;0.32;0.105;1.0;0.0565;0.25;0.08199999999999999;0.86;0.052000000000000005;0.23;0.08199999999999999
0.0;0;0.86;0.16;0.52;0.07;0.0;0.06;0.26;0.083;1.0;0.1;0.43;0.07
1.0;0;0.93;0.156;0.5;0.139;1.0;0.107;0.46;0.147;0.86;0.135;0.58;0.184
