Не сдал(-а);Посещение до Контрольная работа 1;Баллы до Контрольная работа 1;Количество баллов до Контрольная работа 1;Корень дисперсии баллов до Контрольная работа 1;Доставленные баллы на Контрольная работа 1;Контрольная работа 1;Присутствие на Контрольная работа 1;Посещение до Контрольная работа 2;Баллы до Контрольная работа 2;Количество баллов до Контрольная работа 2;Корень дисперсии баллов до Контрольная работа 2;Доставленные баллы на Контрольная работа 2;Контрольная работа 2;Присутствие на Контрольная работа 2;Посещение до Контрольная работа 3;Баллы до Контрольная работа 3;Количество баллов до Контрольная работа 3;Корень дисперсии баллов до Контрольная работа 3;Доставленные баллы на Контрольная работа 3;Контрольная работа 3;Присутствие на Контрольная работа 3
1;0.82;0.035;0.2727272727272727;0.020054572748542818;0.0;5.5;1.0;0.8;0.03;0.4;0.16206354136476445;0.0;8.0;1.0;0.88;0.065;0.5;0.048142591769729806;0.0;10.0;1.0
0;0.64;0.05;0.36363636363636365;0.11826132249225148;0.0;20.0;1.0;0.8;0.02;0.2;0.1764324365564924;0.0;20.0;1.0;1.0;0.01;0.125;0.018432820714705644;0.0;7.0;0.0
1;0.91;0.0825;0.9090909090909092;0.07022443952396491;0.0;7.0;1.0;1.0;0.0365;0.6000000000000001;0.1561950292407959;0.0;4.25;1.0;1.0;0.067;0.75;0.03457601873738679;0.0;4.0;1.0
0;1.0;0.065;0.2727272727272727;0.20741491772422377;0.0;10.0;1.0;1.0;0.04;0.6000000000000001;0.1650374323770311;0.0;7.0;1.0;1.0;0.12;0.375;0.11823308534787101;0.0;9.0;1.0
0;0.82;0.0;0.0;0.09935567877026982;0.0;20.0;1.0;1.0;0.0;0.0;0.0;0.0;20.0;1.0;0.75;0.0;0.0;0.0;0.0;16.0;1.0
1;0.55;0.0;0.0;0.257894046996413;0.0;8.0;1.0;0.6;0.0;0.0;0.0;0.0;5.0;1.0;0.38;0.0;0.0;0.0;0.0;9.0;1.0
0;0.27;0.55;0.09090909090909091;0.5752720693971106;0.0;12.0;1.0;0.8;0.0;0.0;0.0;0.0;9.5;1.0;1.0;0.08;0.125;0.14746256571764516;0.0;10.5;1.0
1;0.91;0.025;0.2727272727272727;0.05213708687232799;0.0;3.0;1.0;1.0;0.03;0.6000000000000001;0.10804236090984298;0.0;4.0;1.0;1.0;0.06;0.375;0.07240268245430453;0.0;10.0;1.0
1;0.82;0.075;0.36363636363636365;0.05464318906389122;0.0;2.0;1.0;0.4;0.025;0.2;0.22054054569561546;0.0;6.0;1.0;0.75;0.06;0.25;0.09137071058846157;0.0;9.0;1.0
1;0.91;0.04;0.36363636363636365;0.22528574785300515;0.0;2.0;1.0;1.0;0.05;1.0;0.0;0.0;1.0;1.0;1.0;0.08;1.0;0.0;0.0;2.0;1.0
1;0.36;0.0;0.0;0.020631523759713038;0.0;8.0;1.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;1.0;0.0
0;0.91;0.01;0.09090909090909091;0.010315761879856519;0.0;20.0;1.0;0.8;0.0;0.0;0.0;0.0;19.0;0.0;0.88;0.0;0.0;0.0;0.0;16.0;0.0
0;0.73;0.0;0.0;0.278525570756126;0.0;9.0;1.0;0.4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;13.0;1.0
0;1.0;0.07;0.6363636363636364;0.398649379854642;0.0;20.0;1.0;1.0;0.15;1.0;0.0;0.0;20.0;1.0;1.0;0.03;0.375;0.026982886620192707;0.0;5.0;0.0
0;0.91;0.0;0.0;0.06189457127913913;0.0;17.0;1.0;1.0;0.0;0.0;0.0;0.0;12.5;1.0;0.75;0.0;0.0;0.0;0.0;19.5;1.0
0;0.64;0.02;0.18181818181818182;0.3549603606451366;0.0;10.0;1.0;1.0;0.05;1.0;0.0;0.0;10.0;1.0;0.12;0.01;0.125;0.018432820714705644;0.0;16.0;1.0
0;0.64;0.053;0.6363636363636364;0.18345071260185633;0.0;2.0;1.0;0.6;0.033;0.8;0.11719815937254;0.0;6.5;0.0;0.62;0.059000000000000004;0.625;0.041140422992793475;0.0;5.0;1.0
0;1.0;0.0;0.0;0.36105166579497827;0.0;16.0;1.0;1.0;0.0;0.0;0.0;0.0;10.0;1.0;1.0;0.0;0.0;0.0;0.0;13.5;1.0
0;0.82;0.0;0.0;0.26305192793634125;0.0;19.0;1.0;0.6;0.0;0.0;0.0;0.0;20.0;1.0;0.75;0.03;0.125;0.05529846214411693;0.0;10.0;1.0
0;0.64;0.0;0.0;0.3713674276748347;0.0;15.0;1.0;1.0;0.0;0.0;0.0;0.0;8.0;1.0;1.0;0.05;0.125;0.09216410357352822;0.0;5.5;1.0
1;0.82;0.095;0.36363636363636365;0.2372229454016385;0.0;3.5;1.0;0.8;0.015;0.4;0.08821621827824618;0.0;8.0;1.0;0.75;0.08;0.25;0.10047880155684591;0.0;1.0;1.0
0;0.55;0.0;0.0;0.2217888804169152;0.0;13.0;1.0;1.0;0.0;0.0;0.0;0.0;9.0;1.0;0.75;0.08;0.25;0.10047880155684591;0.0;8.0;1.0
0;0.64;0.03;0.2727272727272727;0.39053508467378417;0.0;18.0;1.0;1.0;0.0;0.0;0.0;0.0;20.0;1.0;1.0;0.0;0.0;0.0;0.0;20.0;1.0
0;0.82;0.0;0.0;0.1547364281978478;0.0;12.0;1.0;1.0;0.0;0.0;0.0;0.0;12.0;1.0;1.0;0.0;0.0;0.0;0.0;13.0;1.0
0;0.91;0.0;0.0;0.24757828511655652;0.0;20.0;1.0;1.0;0.0;0.0;0.0;0.0;20.0;1.0;1.0;0.0;0.0;0.0;0.0;20.0;1.0
0;0.27;0.05;0.09090909090909091;0.37191483837412886;0.0;20.0;1.0;1.0;0.0;0.0;0.0;0.0;19.5;1.0;0.75;0.16;0.125;0.2949251314352903;0.0;11.0;1.0
0;0.91;0.06;0.2727272727272727;0.16241906114957164;0.0;6.0;1.0;1.0;0.04;0.4;0.21608472181968597;0.0;12.0;1.0;1.0;0.18;0.625;0.173475690059072;0.0;10.0;1.0
0;0.91;0.0;0.0;0.2424204041766282;0.0;20.0;1.0;1.0;0.0;0.0;0.0;0.0;16.0;1.0;1.0;0.0;0.0;0.0;0.0;9.0;1.0
1;0.91;0.0;0.0;0.22694676135684344;0.0;13.0;1.0;1.0;0.0;0.0;0.0;0.0;8.0;1.0;1.0;0.0;0.0;0.0;0.0;9.0;1.0
1;0.91;0.0;0.0;0.20631523759713039;0.0;13.0;1.0;1.0;0.0;0.0;0.0;0.0;8.0;1.0;1.0;0.0;0.0;0.0;0.0;10.0;1.0
0;1.0;0.02;0.09090909090909091;0.19587168468447588;0.0;1.0;1.0;1.0;0.04;0.8;0.08821621827824619;0.0;20.0;1.0;1.0;0.12;0.25;0.18274142117692313;0.0;11.0;1.0
0;0.36;0.0;0.0;0.2682098088762695;0.0;18.0;1.0;1.0;0.1;1.0;0.0;0.0;20.0;1.0;0.38;0.03;0.25;0.03879034354157695;0.0;20.0;0.0
1;0.36;0.0;0.0;0.09284185691870868;0.0;11.0;1.0;0.2;0.0;0.0;0.0;0.0;4.0;1.0;0.38;0.0;0.0;0.0;0.0;0.0;0.0
1;0.55;0.02;0.18181818181818182;0.014153108536499362;0.0;7.0;0.0;0.0;0.038;0.6000000000000001;0.23029333350154302;0.0;5.0;0.0;0.12;0.07;0.5;0.05166829419137659;0.0;7.0;0.0
1;0.91;0.06;0.18181818181818182;0.22925196295103165;0.0;5.0;1.0;1.0;0.01;0.2;0.0882162182782462;0.0;7.0;1.0;0.75;0.09;0.5;0.07600046678480459;0.0;10.0;1.0
0;0.91;0.075;0.36363636363636365;0.1342273773590569;0.0;7.0;1.0;1.0;0.075;0.8;0.2609470927487175;0.0;12.0;1.0;0.75;0.165;0.875;0.0716445182901325;0.0;12.0;1.0
0;0.73;0.0;0.0;0.2321046422967717;0.0;18.0;1.0;1.0;0.1;1.0;0.0;0.0;20.0;1.0;1.0;0.03;0.25;0.03879034354157695;0.0;20.0;0.0
0;0.64;0.0;0.0;0.051578809399282596;0.0;20.0;1.0;0.8;0.0;0.0;0.0;0.0;20.0;1.0;0.62;0.0;0.0;0.0;0.0;17.0;1.0
