Пол;Не сдал(-а);Посещение до Контрольная работа 1;Баллы до Контрольная работа 1;Количество баллов до Контрольная работа 1;Процент баллов до Контрольная работа 1;Контрольная работа 1;Посещение до Контрольная работа 2;Баллы до Контрольная работа 2;Количество баллов до Контрольная работа 2;Процент баллов до Контрольная работа 2;Контрольная работа 2;Посещение до Контрольная работа 3;Баллы до Контрольная работа 3;Количество баллов до Контрольная работа 3;Процент баллов до Контрольная работа 3;Контрольная работа 3
1.0;1;0.57;0.14;4.0;0.45;0.25;1.0;0.02;2.0;0.09;0.1;0.57;0.09;3.0;0.39;0.0
1.0;0;0.93;0.15;8.0;0.48;0.2;1.0;0.1;3.0;0.43;0.05;1.0;0.19;6.0;0.82;0.0
1.0;0;0.79;0.14;7.0;0.45;0.538;1.0;0.049;3.0;0.21;0.595;0.86;0.085;5.0;0.37;0.4915
1.0;1;0.71;0.02;2.0;0.06;0.1665;0.25;0.0;0.0;0.0;0.3355;0.14;0.0;0.0;0.0;0.0
0.0;0;0.71;0.09;6.0;0.29;0.75;1.0;0.09;4.0;0.39;0.7;1.0;0.09;5.0;0.39;0.75
1.0;1;0.71;0.02;2.0;0.06;0.45;1.0;0.02;2.0;0.09;0.65;0.71;0.0;0.0;0.0;0.45
0.0;0;0.5;0.183;9.0;0.59;0.505;0.75;0.02;1.0;0.09;0.546;1.0;0.042;3.0;0.18;0.89
1.0;1;0.86;0.019000000000000003;7.0;0.06;0.0;1.0;0.015;3.0;0.07;0.05;1.0;0.049;6.0;0.21;0.1
1.0;1;0.79;0.035;2.0;0.11;0.16699999999999998;0.75;0.0;0.0;0.0;0.387;0.43;0.0;0.0;0.0;0.5175
0.0;1;0.86;0.1;6.0;0.32;0.5775;1.0;0.03;2.0;0.13;0.4;0.71;0.034;2.0;0.15;0.395
0.0;1;0.64;0.03;2.0;0.1;0.25;0.25;0.04;2.0;0.17;0.55;0.71;0.02;2.0;0.09;0.65
0.0;0;1.0;0.16;8.0;0.52;0.55;1.0;0.06;3.0;0.26;0.85;1.0;0.1;5.0;0.43;0.45
1.0;0;0.86;0.16;8.0;0.52;0.794;1.0;0.06;3.0;0.26;0.6985;0.71;0.08;4.0;0.35;1.0
1.0;1;0.71;0.11;6.0;0.35;0.25;0.75;0.02;1.0;0.09;0.0;0.14;0.0;0.0;0.0;0.0
1.0;1;0.29;0.0;0.0;0.0;0.0;0.0;0.02;2.0;0.09;0.0;0.43;0.15;6.0;0.65;0.0
1.0;1;1.0;0.12;8.0;0.39;0.6865;0.75;0.0;0.0;0.0;0.596;0.86;0.03;2.0;0.13;0.4575
0.0;0;0.71;0.18;8.0;0.58;0.8300000000000001;1.0;0.06;3.0;0.26;0.5599999999999999;0.86;0.1;5.0;0.43;0.673
0.0;1;1.0;0.09;6.0;0.29;0.2;1.0;0.02;1.0;0.09;0.3;1.0;0.09;5.0;0.39;0.3
0.0;0;0.71;0.12;7.0;0.39;0.6;0.75;0.02;2.0;0.09;0.5;0.86;0.05;3.0;0.22;0.65
0.0;0;0.71;0.153;8.0;0.49;0.40599999999999997;0.5;0.03;3.0;0.13;0.5615;0.71;0.11;6.0;0.48;0.5575
0.0;0;0.79;0.1165;8.0;0.38;0.49000000000000005;1.0;0.0565;4.0;0.25;0.5349999999999999;1.0;0.126;6.0;0.55;0.595
1.0;0;0.71;0.055999999999999994;4.0;0.18;0.6665;0.75;0.037000000000000005;3.0;0.16;0.835;0.86;0.048;3.0;0.21;0.771
1.0;0;1.0;0.16;8.0;0.52;0.85;1.0;0.06;3.0;0.26;1.0;1.0;0.1;5.0;0.43;0.95
0.0;0;0.71;0.15;8.0;0.48;0.571;1.0;0.07400000000000001;4.0;0.32;0.492;0.86;0.13;5.0;0.56;0.6885
0.0;0;0.93;0.11;8.0;0.35;0.55;1.0;0.05;3.0;0.22;0.55;1.0;0.09;5.0;0.39;0.65
1.0;0;0.93;0.098;7.0;0.32;0.4125;1.0;0.055;3.0;0.24;0.45149999999999996;1.0;0.07200000000000001;4.0;0.31;0.9099999999999999
1.0;1;0.93;0.035;3.0;0.11;0.129;1.0;0.0;0.0;0.0;0.3;1.0;0.0;0.0;0.0;0.1
1.0;1;0.93;0.049;4.0;0.16;0.132;1.0;0.019;1.0;0.08;0.16999999999999998;1.0;0.02;1.0;0.09;0.179
0.0;0;0.93;0.16;8.0;0.52;0.85;1.0;0.06;3.0;0.26;0.85;1.0;0.1;5.0;0.43;0.85
1.0;0;0.86;0.13;8.0;0.42;0.75;1.0;0.04;3.0;0.17;0.7;1.0;0.09;5.0;0.39;0.45
1.0;0;0.79;0.04;2.0;0.13;0.644;0.5;0.0;0.0;0.0;0.95;0.86;0.08;4.0;0.35;0.6585
1.0;1;0.79;0.08;4.0;0.26;0.472;1.0;0.0;0.0;0.0;0.40700000000000003;0.43;0.02;1.0;0.09;0.45
0.0;1;0.86;0.04;4.0;0.13;0.28650000000000003;1.0;0.02;1.0;0.09;0.51;0.86;0.0;0.0;0.0;0.6
0.0;1;0.86;0.1;7.0;0.32;0.45;1.0;0.05;3.0;0.22;0.25;0.86;0.04;2.0;0.17;0.2
